alpha,beta,gamma,auroc_obs,auroc_patient
0.3,3.0,0.7,0.6600887919917502,0.7606006739930881
0.3,3.0,0.8,0.6606245751485079,0.7635973439056251
0.3,3.0,0.9,0.6600979186031204,0.7671423250085853
0.3,3.0,1.0,0.6573013730962174,0.7715453135945267
0.3,3.5,0.1,0.6512467074498514,0.7396250728667114
0.3,3.5,0.2,0.652550515461632,0.7413533999443156
0.3,3.5,0.3,0.6539057557834034,0.7433305424424581
0.3,3.5,0.4,0.6552916291222866,0.7454676866198854
0.3,3.5,0.5,0.6566677337696356,0.7478069942832333
0.3,3.5,0.6,0.65795860166485,0.7504098726843513
0.3,3.5,0.7,0.659022003322893,0.7533413151307298
0.3,3.5,0.8,0.6595888877779315,0.7568209327157718
0.3,3.5,0.9,0.6591086938431374,0.7610426103437872
0.3,3.5,1.0,0.6563866598782258,0.7663047262057283
0.3,4.0,0.1,0.6501746849171811,0.7317669736488079
0.3,4.0,0.2,0.6514839339931994,0.7336792083871576
0.3,4.0,0.3,0.6528466733519067,0.735850597563607
0.3,4.0,0.4,0.6542420607687134,0.7382159994887385
0.3,4.0,0.5,0.6556310870210725,0.7408178995692907
0.3,4.0,0.6,0.6569392739464328,0.7437109093404303
0.3,4.0,0.7,0.6580263672087261,0.7469980038366719
0.3,4.0,0.8,0.6586263585746361,0.7509309390136397
0.3,4.0,0.9,0.6581942581255047,0.7557472879272735
0.3,4.0,1.0,0.6555476211135087,0.7617393919870376
0.3,4.5,0.1,0.6491560365329306,0.7247606472007555
0.3,4.5,0.2,0.6504725872982555,0.7268794472949638
0.3,4.5,0.3,0.6518444188363255,0.7292612204382775
0.3,4.5,0.4,0.653250729365042,0.7318486446726786
0.3,4.5,0.5,0.6546543656852426,0.734681028382544
0.3,4.5,0.6,0.6559811311170467,0.737851750563333
0.3,4.5,0.7,0.6570931942990889,0.7414587630994902
0.3,4.5,0.8,0.6577279385922279,0.7457923785725142
0.3,4.5,0.9,0.6573447301017039,0.751136905497443
0.3,4.5,1.0,0.6547735973700686,0.7577738269866939
0.3,5.0,0.1,0.6481900354390662,0.7185207171496224
0.3,5.0,0.2,0.6495139789210045,0.7208470953149341
0.3,5.0,0.3,0.650895759986267,0.7234630044512562
0.3,5.0,0.4,0.652313801413156,0.7262677322053177
0.3,5.0,0.5,0.6537323393763502,0.7293139551539258
0.3,5.0,0.6,0.6550784676416503,0.7327153582085403
0.3,5.0,0.7,0.6562167997291397,0.7366220727681343
0.3,5.0,0.8,0.6568867733367663,0.7413155122777674
0.3,5.0,0.9,0.6565528114556289,0.7471354173736791
0.3,5.0,1.0,0.6540561135025817,0.7543217696555022
0.4,0.5,0.1,0.6604009255581095,0.8044489109029153
0.4,0.5,0.2,0.6616800317954026,0.8054497420799148
0.4,0.5,0.3,0.6630146684017638,0.8065668538404985
0.4,0.5,0.4,0.6643719074467929,0.8077861379912927
0.4,0.5,0.5,0.6657112745704908,0.8090572832099879
0.4,0.5,0.6,0.6669499497819052,0.8103617400378129
